,code,capacity_per_k,longitude,latitude
1688,01425,61.16192987907063,142.027145,43.451763
1689,01425,22.018294756465426,141.984039,43.482578
1690,01427,63.95333964339618,141.790833,43.012253
1691,01427,26.494954995121276,141.774475,43.009464
1692,01427,24.667716719595667,141.790833,43.012253
1693,01427,8.222572239865222,141.790833,43.012253
1694,01427,8.222572239865222,141.804855,42.949051
1695,01428,65.41606721407454,141.685959,43.00425
1696,01428,37.38060983661403,141.733795,43.030655
1697,01428,30.3717454922489,141.69342,43.007629
1698,01428,8.410637213238157,141.685593,43.014069
1699,01428,7.00886434436513,141.722549,43.048252
1700,01428,4.205318606619079,141.686615,43.014404
1701,01429,39.98368665584442,141.793457,43.055901
1702,01429,39.98368665584442,141.803131,43.057098
1703,01429,11.59526913019488,141.803131,43.057098
1704,01429,7.197063598051995,141.784683,43.065575
1705,01429,3.5985317990259973,141.793457,43.055901
1706,01429,3.5985317990259973,141.784683,43.065575
1707,01430,92.78110022479535,141.669495,43.338345
1708,01430,66.27221444628239,141.669495,43.338345
1709,01430,39.76332866776943,141.610809,43.30471
1710,01430,39.76332866776943,141.610809,43.30471
1711,01431,72.29002759069387,141.818741,43.43037
1712,01431,48.19335172712924,141.818741,43.43037
1713,01431,21.68700827720816,141.818741,43.43037
1714,01432,67.96784305409426,141.853241,43.483047
1715,01432,29.22617251326053,141.873596,43.546337
1716,01432,12.234211749736964,141.877472,43.554691
1718,01433,118.07647518106288,141.955338,43.69672
1719,01433,13.283603457869575,141.955338,43.69672
1721,01434,142.79212144469932,141.957855,43.767014
1722,01434,32.12822732505734,141.957855,43.767014
1723,01436,142.5565013783432,141.892929,43.661465
1724,01437,175.19079372378982,141.893494,43.727825
1725,01437,39.41792858785271,141.865097,43.762257
1726,01438,116.74128380389801,141.943878,43.807434
1727,01438,13.133394427938525,141.944366,43.807484
1728,01452,43.080571007120355,142.357498,43.843727
1729,01452,17.232228402848143,142.328857,43.812737
1730,01452,15.50900556256333,142.35849,43.84671
1733,01453,65.89017294193692,142.402298,43.718388
1734,01453,32.94508647096846,142.453751,43.694366
1735,01453,13.178034588387382,142.453751,43.694366
1736,01453,11.860231129548644,142.458664,43.697239
1737,01453,9.883525941290538,142.403687,43.726955
1738,01454,35.47006360737368,142.505905,43.827511
1739,01454,34.10583039170546,142.530899,43.829647
1740,01454,32.741597176037246,142.505905,43.827511
1741,01454,13.642332156682187,142.530899,43.829647
1742,01454,12.278098941013969,142.508957,43.832657
1743,01454,6.1390494705069845,142.514511,43.82872
1744,01454,6.1390494705069845,142.478455,43.840778
1747,01455,61.66026427589269,142.482025,43.874992
1748,01455,22.197695139321368,142.482025,43.874992
1749,01456,74.60682204780804,142.58078,43.919212
1750,01456,26.8584559372109,142.62265,43.911968
1751,01457,35.56862373138575,142.760788,43.855373
1752,01457,32.01176135824718,142.767548,43.851505
1753,01457,23.71241582092383,142.760788,43.855373
1754,01457,21.341174238831453,142.761185,43.854317
1755,01458,55.155182553312656,142.481659,43.703903
1756,01458,34.47198909582041,142.481659,43.703903
1757,01458,12.40991607449535,142.494232,43.705025
1758,01458,12.40991607449535,142.499802,43.701977
1759,01458,10.341596728746122,142.501556,43.704235
1760,01459,29.263139515431675,142.477219,43.590256
1761,01459,29.263139515431675,142.46994,43.582848
1762,01459,11.70525580617267,142.46994,43.582848
1763,01459,8.778941854629503,142.454788,43.589775
1764,01459,8.778941854629503,142.465485,43.585987
1765,01459,3.414032943467029,142.468506,43.584393
1771,01460,29.08299005710736,142.456589,43.457581
1772,01460,16.28647443198012,142.466721,43.454414
1773,01460,8.724897017132207,142.473663,43.451679
