code,capacity_per_k,longitude,latitude
01204,0.4910730031055632,142.386917,43.800167
01204,0.4910730031055632,142.419113,43.746525
01204,0.4910730031055632,142.433105,43.809811
01204,0.47353468156607875,142.43544,43.813305
01204,0.4559963600265944,142.366898,43.805283
01204,0.4209197169476256,142.410919,43.770794
01204,0.4209197169476256,142.431747,43.816776
01205,6.278174091005147,140.969742,42.31572
01205,4.3947218637036025,141.001053,42.355293
01205,3.327432268232728,141.012314,42.351406
01205,3.1390870455025737,140.987335,42.315929
01205,3.1390870455025737,141.013519,42.382259
01205,1.8206704863914924,140.942261,42.379696
01205,1.2556348182010293,140.988098,42.316872
01206,2.6767819042690704,144.385117,42.9837
01206,2.1414255234152564,144.415405,42.977566
01206,1.9986638218542396,144.401459,43.011803
01206,1.820211694902968,144.271545,43.009712
